naId,recordGroup,level,status,exemptions,securityClassification,note,coverageStart,coverageEnd,title
7579538,263,fileUnit,Restricted - Fully,FOIA (b)(1) National Security,FOIA (b)(1) National Security,,,,"Letter to Dulles from Kirk re: Letter from B. Waterbury, 5/12/64"
7542423,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"15) NIE 11-5-59, 3 Nov 59, Soviet Capabilities in Guided Missiles and Space Vehicles"
1374281,263,fileUnit,Restricted - Partly,,,"Many documents have been declassified, but some are still classified and unavailable for research.  Withdrawal sheets giving information necessary for mandatory declassification review requests have replaced the classified documents in the open folders.",,,"Djujic, Momcilo"
7542248,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"73) NIE 11-55, 1 Mar 55, Probable Soviet Response to the Ratification of the Paris Agreements"
7542604,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"NIE 11-13/1-62, 1 Aug 62, Soviet Intentions with Respect to Berlin"
7553411,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"50) SNIE 15-83, 31 Jan 83, Yugoslavia: An Approaching Crisis?"
7579638,263,fileUnit,Restricted - Fully,FOIA (b)(1) National Security,FOIA (b)(1) National Security,,,,"Transmittal Slip, Letter, and Draft Article for True Magazine, 9/18/58"
1374627,263,fileUnit,Restricted - Partly,,,"Many documents have been declassified, but some are still classified and unavailable for research.  Withdrawal sheets giving information necessary for mandatory declassification review requests have replaced the classified documents in the open folders.",,,"Midzins, Valdemars"
7542477,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"69) Memo to Holders of NIE 11-4-78, Soviet Goals and Expectations in the Global Power Arena"
7542506,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"23) NIE 11-11-66, 25 May 66, Impact of a Threshold Test Ban Treaty on Soviet Military Programs"
7542648,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"NI IIM 77-011, Apr 77, The Emerging Role of the Soviet Merchant Fleet in World Shipping"
7542677,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"NI IIA 87-10006JX, Mar 87, Soviet Short-Range Ballistic Missiles and the Impact of a Ban on Long-Range INF Missiles"
7553433,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"18) SNIE 11-16-62, 13 Sept 62, Current Soviet Tactics on Berlin"
7542183,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"8) NIE 22, 19 Feb 51, Vulnerability of the Soviet Bloc to Economic Warfare"
7553554,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"12) NIE 11-14-62, 5 Dec 62, Capabilities of the Soviet Theater Forces"
7579491,263,fileUnit,Restricted - Fully,FOIA (b)(1) National Security,FOIA (b)(1) National Security,,,,"Memo to Chief, WH Division re: Luis Sanjanis, 8/12/60"
1374165,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,Secret,"Many documents have been declassified, but some are still classified and unavailable for research.  Withdrawal sheets giving information necessary for mandatory declassification review requests have replaced the classified documents in the open folders.",,,"Arajs, Viktors"
7542319,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"17) SNIE 10-12-65, 10 Dec 65, Probable Communist Reactions to a US Course of Action"
7542427,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"19) NIE 11-8-60, 1 Aug 60, Soviet Capabilities for Long Range Attack Through Mid-1965"
7542523,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"40) Memo to Holders of NIE 11-3-71, Soviet Strategic Defenses"
7553288,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"54) NIE 28.5-54, 8 Jan 54, Current Situation and Probable Developments in Finland During 1954"
7553560,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"18) NIE 11-3-64, 16 Dec 64, Soviet Air and Missile Defense Capabilities Through Mid-1970"
7553566,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"24) NIE 11-4-66, 16 Jun 66, Main Trends in Soviet Military Policy"
102260469,263,series,Restricted - Fully,FOIA (b)(1) National Security; FOIA (b)(6) Personal Information,Top Secret,,1952,1960,Intelligence Document Collection
7553396,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"35) NIE 11/12-73, 7 May 74, Soviet and East European Attitudes Toward MBFR (Mutual and Balanced Force Reductions)"
7553438,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"23) NIE 11-6-63, 24 Apr 63, The Soviet Role in the Arab World"
